case:concept:name,concept:name,Resource,Complete Timestamp,Variant,Variant index,Part_Desc_,Rework,Work_Order_Qty,label,Report_Type,Resource.1,Qty_Completed,Qty_for_MRB,activity_duration,timesincemidnight,month,weekday,hour,timesincelastevent,timesincecasestart,event_nr,open_cases
Case188,Lapping - Machine 1,ID0998,1/2/12 17:00,Variant 16,16,Punch Holder,missing,350,deviant,D,Machine 1 - Lapping,144,0,60,1020,1,0,17,60,250,4,9
Case188,Turning & Milling Q.C.,ID4618,1/17/12 11:22,Variant 16,16,Punch Holder,missing,350,deviant,D,Quality Check 1,27,0,4,682,1,1,11,21262,21512,5,32
Case188,Wire Cut - Machine 13,ID3767,1/29/12 13:00,Variant 16,16,Punch Holder,missing,350,deviant,D,Wire Cut - Machine 13,27,0,360,780,1,6,13,17378,38890,6,31
Case188,Round Grinding - Machine 3,ID4445,2/1/12 14:34,Variant 16,16,Punch Holder,missing,350,deviant,S,Machine 3 - Round Grinding,0,0,130,874,2,2,14,4414,43304,7,32
Case188,Round Grinding - Machine 3,ID4445,2/1/12 17:59,Variant 16,16,Punch Holder,missing,350,deviant,D,Machine 3 - Round Grinding,22,0,205,1079,2,2,17,205,43509,8,32
Case188,Round Grinding - Machine 3,ID0420,2/2/12 6:47,Variant 16,16,Punch Holder,missing,350,deviant,D,Machine 3 - Round Grinding,45,0,623,407,2,3,6,768,44277,9,33
Case188,Final Inspection Q.C.,ID4618,2/2/12 9:23,Variant 16,16,Punch Holder,missing,350,deviant,D,Quality Check 1,0,0,4,563,2,3,9,156,44433,10,33
Case188,Round Grinding - Machine 3,ID4445,2/2/12 9:57,Variant 16,16,Punch Holder,missing,350,deviant,D,Machine 3 - Round Grinding,10,0,175,597,2,3,9,34,44467,11,33
Case188,Laser Marking - Machine 7,ID0998,2/2/12 10:40,Variant 16,16,Punch Holder,missing,350,deviant,D,Machine 7- Laser Marking,27,0,2,640,2,3,10,43,44510,12,34
Case188,Lapping - Machine 1,ID0998,2/2/12 13:30,Variant 16,16,Punch Holder,missing,350,deviant,D,Machine 1 - Lapping,27,0,1,810,2,3,13,170,44680,13,34
Case188,Round Grinding - Machine 3,ID4445,2/2/12 13:31,Variant 16,16,Punch Holder,missing,350,deviant,D,Machine 3 - Round Grinding,12,0,175,811,2,3,13,1,44681,14,34
Case188,Round Grinding - Machine 3,ID4445,2/2/12 13:55,Variant 16,16,Punch Holder,missing,350,deviant,D,Machine 3 - Round Grinding,0,0,23,835,2,3,13,24,44705,15,34
Case188,Round Grinding - Machine 3,ID0420,2/3/12 0:55,Variant 16,16,Punch Holder,missing,350,deviant,D,Machine 3 - Round Grinding,23,0,297,55,2,4,0,660,45365,16,35
Case188,Final Inspection Q.C.,ID4618,2/3/12 12:54,Variant 16,16,Punch Holder,missing,350,deviant,D,Quality Check 1,0,0,138,774,2,4,12,719,46084,17,34
Case188,Round Grinding - Machine 3,ID4445,2/5/12 1:15,Variant 16,16,Punch Holder,Y,350,deviant,D,Machine 3 - Round Grinding,20,0,150,75,2,6,1,2181,48265,18,34
Case188,Round Grinding - Machine 3,ID4445,2/5/12 6:53,Variant 16,16,Punch Holder,Y,350,deviant,D,Machine 3 - Round Grinding,39,0,413,413,2,6,6,338,48603,19,33
Case188,Final Inspection Q.C.,ID4618,2/5/12 11:32,Variant 16,16,Punch Holder,Y,350,deviant,D,Quality Check 1,0,0,244,692,2,6,11,279,48882,20,33
Case188,Final Inspection Q.C.,ID4618,2/5/12 14:07,Variant 16,16,Punch Holder,Y,350,deviant,D,Quality Check 1,27,0,3,847,2,6,14,155,49037,21,32
Case246,Turning & Milling - Machine 9,ID4641,1/2/12 16:00,Variant 7,7,other,missing,36,deviant,D,Machine 9 - Turning & Milling,10,0,420,960,1,0,16,0,0,1,8
Case246,Turning & Milling - Machine 9,ID3846,1/2/12 23:40,Variant 7,7,other,missing,36,deviant,D,Machine 9 - Turning & Milling,7,0,460,1420,1,0,23,460,460,2,13
Case246,Turning & Milling - Machine 9,ID4641,1/3/12 15:29,Variant 7,7,other,missing,36,deviant,D,Machine 9 - Turning & Milling,14,0,75,929,1,1,15,949,1409,3,15
Case277,Milling - Machine 16,ID4326,1/2/12 16:00,Variant 17,17,Cable Head,missing,3,deviant,D,Machine 16 - Milling,3,0,510,960,1,0,16,0,0,1,8
Case277,Turning & Milling Q.C.,ID4493,1/3/12 1:15,Variant 17,17,Cable Head,missing,3,deviant,D,Quality Check 1,3,0,75,75,1,1,1,555,555,2,16
Case277,Lapping - Machine 1,ID4528,1/5/12 16:54,Variant 17,17,Cable Head,missing,3,deviant,D,Machine 1 - Lapping,3,0,54,1014,1,3,16,3819,4374,3,21
Case277,Round Grinding - Manual,ID4528,1/5/12 18:30,Variant 17,17,Cable Head,missing,3,deviant,S,Machine 27 - Grinding,0,0,90,1110,1,3,18,96,4470,4,22
Case277,Round Grinding - Manual,ID4528,1/5/12 23:45,Variant 17,17,Cable Head,missing,3,deviant,D,Machine 27 - Grinding,0,0,315,1425,1,3,23,315,4785,5,22
Case277,Round Grinding - Manual,ID4528,1/8/12 8:30,Variant 17,17,Cable Head,missing,3,deviant,D,Machine 27 - Grinding,3,0,100,510,1,6,8,3405,8190,6,21
Case277,Lapping - Machine 1,ID4528,1/8/12 8:40,Variant 17,17,Cable Head,missing,3,deviant,D,Machine 1 - Lapping,3,0,10,520,1,6,8,10,8200,7,21
Case277,Round Grinding - Manual,ID4528,1/8/12 10:00,Variant 17,17,Cable Head,missing,3,deviant,S,Machine 27 - Grinding,0,0,57,600,1,6,10,80,8280,8,21
Case277,Round Grinding - Manual,ID4528,1/8/12 17:43,Variant 17,17,Cable Head,missing,3,deviant,D,Machine 27 - Grinding,0,0,463,1063,1,6,17,463,8743,9,25
Case277,Packing,ID4491,1/9/12 1:00,Variant 17,17,Cable Head,missing,3,deviant,D,Packing,2,0,60,60,1,0,1,437,9180,10,26
Case277,Round Grinding - Manual,ID4528,1/9/12 9:06,Variant 17,17,Cable Head,missing,3,deviant,D,Machine 27 - Grinding,2,0,132,546,1,0,9,486,9666,11,30
Case277,Round Grinding - Manual,ID4528,1/9/12 10:51,Variant 17,17,Cable Head,missing,3,deviant,D,Machine 27 - Grinding,1,0,105,651,1,0,10,105,9771,12,29
Case277,Round Grinding - Manual,ID4528,1/9/12 12:34,Variant 17,17,Cable Head,missing,3,deviant,D,Machine 27 - Grinding,0,0,31,754,1,0,12,103,9874,13,28
Case274,Turning & Milling - Machine 8,ID4219,1/2/12 16:43,Variant 18,18,Spur Gear,missing,3,regular,S,Machine 8 - Turning & Milling,1,0,342,1003,1,0,16,0,0,1,9
Case274,Turning & Milling Q.C.,ID4287,1/3/12 8:40,Variant 18,18,Spur Gear,missing,3,regular,D,Quality Check 1,0,0,95,520,1,1,8,957,957,2,16
Case274,Turning & Milling - Machine 8,ID4219,1/3/12 10:12,Variant 18,18,Spur Gear,missing,3,regular,B,Machine 8 - Turning & Milling,0,0,193,612,1,1,10,92,1049,3,16
Case274,Turning & Milling - Machine 8,ID4219,1/3/12 11:51,Variant 18,18,Spur Gear,missing,3,regular,D,Machine 8 - Turning & Milling,2,0,98,711,1,1,11,99,1148,4,16
Case274,Turning & Milling Q.C.,ID4287,1/3/12 12:14,Variant 18,18,Spur Gear,missing,3,regular,D,Quality Check 1,3,0,44,734,1,1,12,23,1171,5,16
Case274,Flat Grinding - Machine 11,ID4872,1/3/12 12:30,Variant 18,18,Spur Gear,missing,3,regular,D,Machine 11 - Grinding,3,0,40,750,1,1,12,16,1187,6,16
Case274,Lapping - Machine 1,ID4872,1/3/12 13:30,Variant 18,18,Spur Gear,missing,3,regular,D,Machine 1 - Lapping,3,0,60,810,1,1,13,60,1247,7,16
Case274,Round Grinding - Manual,ID4872,1/3/12 16:00,Variant 18,18,Spur Gear,missing,3,regular,D,Machine 27 - Grinding,3,0,150,960,1,1,16,150,1397,8,17
Case274,Round Grinding - Q.C.,ID4287,1/4/12 11:02,Variant 18,18,Spur Gear,missing,3,regular,D,Quality Check 1,3,0,62,662,1,2,11,1142,2539,9,19
Case274,Laser Marking - Machine 7,ID0998,1/4/12 12:20,Variant 18,18,Spur Gear,missing,3,regular,D,Machine 7- Laser Marking,3,0,75,740,1,2,12,78,2617,10,19
Case274,Final Inspection Q.C.,ID4287,1/4/12 12:49,Variant 18,18,Spur Gear,missing,3,regular,D,Quality Check 1,0,0,97,769,1,2,12,29,2646,11,19
Case274,Final Inspection Q.C.,ID4287,1/4/12 13:30,Variant 18,18,Spur Gear,missing,3,regular,D,Quality Check 1,3,0,10,810,1,2,13,41,2687,12,19
Case274,Packing,ID4820,1/5/12 1:00,Variant 18,18,Spur Gear,missing,3,regular,D,Packing,3,0,60,60,1,3,1,690,3377,13,21
Case255,Turning - Machine 8,ID0997,1/2/12 18:00,Variant 19,19,other,missing,40,regular,D,Machine 15 - Turning,40,0,660,1080,1,0,18,0,0,1,10
Case255,Turning Q.C.,ID4618,1/5/12 15:13,Variant 19,19,other,missing,40,regular,D,Quality Check 1,40,0,75,913,1,3,15,4153,4153,2,19
Case255,Laser Marking - Machine 7,ID0998,1/10/12 10:07,Variant 19,19,other,missing,40,regular,D,Machine 7- Laser Marking,40,0,45,607,1,1,10,6894,11047,3,28
Case255,Final Inspection Q.C.,ID4618,1/11/12 11:22,Variant 19,19,other,missing,40,regular,D,Quality Check 1,40,0,60,682,1,2,11,1515,12562,4,31
Case255,Packing,ID4820,1/16/12 1:00,Variant 19,19,other,missing,40,regular,D,Packing,40,0,60,60,1,0,1,6578,19140,5,27
Case153,Round Grinding - Manual,ID4528,1/2/12 19:50,Variant 20,20,Housing,missing,46,regular,S,Machine 27 - Grinding,0,0,50,1190,1,0,19,0,0,1,11
Case153,Round Grinding - Manual,ID4528,1/2/12 20:45,Variant 20,20,Housing,missing,46,regular,D,Machine 27 - Grinding,4,0,55,1245,1,0,20,55,55,2,11
Case153,Final Inspection Q.C.,ID4287,1/4/12 17:47,Variant 20,20,Housing,missing,46,regular,D,Quality Check 1,0,0,37,1067,1,2,17,2702,2757,3,21
Case153,Final Inspection Q.C.,ID4287,1/5/12 8:40,Variant 20,20,Housing,missing,46,regular,D,Quality Check 1,4,0,35,520,1,3,8,893,3650,4,20
Case153,Packing,ID4820,1/6/12 1:00,Variant 20,20,Housing,missing,46,regular,D,Packing,4,0,60,60,1,4,1,980,4630,5,20
Case271,Turning & Milling - Machine 5,ID4932,1/2/12 20:53,Variant 21,21,Cable Head,missing,150,deviant,S,Machine 5 - Turning & Milling,0,0,53,1253,1,0,20,0,0,1,12
